stockcode,bursacode,alias,name,shariah,economicsectorcode,industrygroupcode,hyperlink,address,description
$SEVE,5250,SEM,7-ELEVEN M'SIA,0,Consumer Non-Cyclicals,Food & Drug Retailing ,http://www.7eleven.com.my/,"Level 3A, Podium Block,, Plaza Berjaya, 12, Jalan Imbi, KUALA LUMPUR, 55100, Malaysia","7-Eleven Malaysia Holdings Berhad is a Malaysia-based investment holding company. The Company is a convenience store operator in Malaysia. The Company operates through three segments: convenience stores, pharmaceutical, and Others. The convenience stores segment is engaged in the operating and franchising of convenience stores under the 7-Eleven brand name, which offers a range of grocery and food items including hot food and beverages and manages the distribution of reloads of mobile phone, Touch 'n Go and online game and bill payment services. The pharmaceutical segment is the operating chain of pharmacies under the Caring, Pill House and Wellings brand name, which retailing of pharmaceutical, healthcare, and personal care products. The other segments consist of investment holding and real property investment. The Company provides various services, such as Credit & Debit Cards, Razer Parcel +, Razer Gold, Touch 'n Go Reload, B Infinite, Reloads, Razer CASH, and Alipay."
$ARNK,7214,ARANK,A-RANK BHD,1,Basic Materials,Metals & Mining,http://www.arank.com.my/,"Lot 2-33, Jalan Perindustrian Mahkota 7, BERANANG, 43700, Malaysia","A-Rank Berhad is a Malaysia-based investment holding company. The Company is principally involved in the manufacturing and marketing of aluminum billets. The Company principally operates in two geographical segments: Malaysia and South East Asia other than Malaysia. The Company, through its subsidiary, Formosa Shyen Horng Metal Sdn. Bhd. (Formosa) is principally involved in the manufacturing and marketing of aluminum billets in Malaysia. It also offers secondary aluminum extrusion billets. The Company, through Formosa, offers billets in various sizes ranging from 3 inches to 11 inches in diameter, and of any cut length up to six meters. Its subsidiaries also include Emerald Innovations Sdn. Bhd., which is engaged in the property holding; Tambun Kekal Sdn. Bhd., which is engaged in the investment holding, and Konsep Juara Sdn. Bhd., which is a property developer."
$ABFM,0800EA,,ABF Malaysia Bond Index Fund,0,Financials,Collective Investments,http://www.abfmy1.com.my/,"9th Floor Bangunan AmBank, Group, 55, Jalan Raja Chulan, Kuala Lumpur, 50200, Malaysia","ABF Malaysia Bond Index Fund (the Fund) is a fixed-income, exchange-traded fund (ETF) that seeks, which correspond closely to the performance of the iBoxx ABF Malaysia Index (the Index). The Index is a basket index that expresses relative changes in value compared to the beginning of the respective period. The Index is a combination of Government, sovereign and sub-sovereign debt securities subject to per-determined credit rating requirements. The Fund was set up with the objective for investors who seek an index-based approach to investing in a portfolio of Ringgit Malaysia denominated Government and quasi-Government debt securities. As of December 31, 2008, the Fund’s portfolio included Malaysian Government securities (88.3%), quasi-government bonds (10.7%), and cash and others (1%). The Fund’s investment manager is AmInvestment Management Sdn Bhd."
$ABLE,7167,ABLEGLOB,ABLE GLOBAL,1,Basic Materials,Containers & Packaging,https://www.ableglobalbhd.com.my/,"Ptd 124298, Kampung Seelong Jaya, Skudai, Jalan Kempas Lama, JOHOR BAHRU, 81300, Malaysia","Able Global Berhad, formerly Johore Tin Berhad, is a Malaysia-based company, which is principally engaged in the business of investment holding and the provision of management services. The Company operates through three segments: Investment Holding, Tin Manufacturing, and Food and Beverage. The Investment Holding segment is involved in the business of investment holding and provision of management services. The Tin Manufacturing segment is involved in the manufacturing of various tins, cans, and other containers. The Food and Beverage segment is involved in the manufacturing and selling of milk and other related dairy products, as well as packing and trading of all types of dairy products. For Tin Cans segment, the customers are locally based, and its customer base consists of various industries, mainly in biscuit, paint and chemical, edible oil and food processing industries. Its dairy products are exported, mainly to West Africa, South-East Asia Region and American Continent."
$ABEL,7086,ABLEGRP,ABLEGROUP BHD,1,,,http://www.ablegroup.com.my/,"Block D4-U2-10 Level 2, Solaris Dutamas, No. 1 Jalan Dutamas 1, KUALA LUMPUR, 50480, Malaysia","AbleGroup Berhad is a Malaysia-based investment holding company. The Company operates through three segments: Building materials, Investment holding and Property development. The Building materials segment is involved in supply, delivery and installation of stone and tiling works. Investment holding segment is engaged in investment holding activities. Property development segment is involved in property development activity. The Company’s wholly owned subsidiaries include Syarikat Bukit Granite Sdn Bhd, which is involved with the processing of granite and marble for supply and installation to the domestic market, and Atlas Rhythm Sdn Bhd, which is in the property development business."
$ABMF,5198,AFUJIYA,ABM FUJIYA BHD,1,Consumer Cyclicals,Automobiles & Auto Parts,https://www.abmfujiya.com.my/,"Lot 2224, Section 66 Lorong Pangkalan, Off Jalan Pangkalan, Industrial Estate, East Malaysia, KUCHING, 93450, Malaysia","ABM Fujiya Berhad is a Malaysia-based investment holding company. The Company, through its subsidiaries, is involved in the manufacturing of automotive batteries and other batteries, as well as dealing, sale and retailing of automotive batteries, and other batteries and lubricants. Its range of automotive batteries include conventional lead acid batteries, low-maintenance lead acid batteries and maintenance-free batteries as well as deep cycle batteries to cater for electrical appliances on boats, golf buggies, light industrial scissor lifts and caravans as well as commercial and recreational vehicles. The Company's segments include manufacturing that includes manufacturing and distribution of batteries and; and marketing includes marketing and retailing of batteries and lubricants."
$ACEI,03028,ACEINNO,ACE INNOVATE,1,Consumer Cyclicals,Textiles & Apparel,https://www.ace2u.com/ace-capital-growth/,"No. 19-1, Jalan USJ 10/1D, Taipan Business Centre, Subang Jaya, 47620, Malaysia","Ace Innovate Asia Berhad is a Malaysia-based investment holding company. The Company's segments include Trading, Assaying and Information communication and technology. The Trading segment is engaged in trading of precious metals. The Assaying segment includes technical testing and analysis, assaying and refining of precious metal. The Information communication and technology segment is engaged in developing information technology, dealing and trading in providing information communication and technology (ICT) services and consultancy, deal, trade, and provide software research and development businesses. The Company's subsidiaries include Ace Capital Growth Sdn. Bhd., Ace Global Metal Sdn. Bhd., and Ace Assay (M) Sdn. Bhd."
$ACME,7131,ACME,ACME HOLDGS BHD,1,Basic Materials,Chemicals,https://acmeholdings.com.my/,"1,2,7 & 8, Jalan PKNK 3,, Kawasan Perusahaan LPK Fasa 3, SUNGAI PETANI, 08000, Malaysia","ACME Holdings Berhad is a Malaysia-based company that is engaged in investment holding and property letting. The Company’s segments include Manufacturing, which is engaged in manufacturing of diverse plasticware products, Property development, which is engaged in housing and property development activities, and Others segment, which includes investment holding activities. Its geographical segments include Malaysia, Brunei and Singapore. The Company’s wholly owned subsidiaries include Welcome Properties Sdn. Bhd., Medan Tropika Sdn. Bhd. (MTSB) and Focal Products Sdn. Bhd. (FPSB)."
$ACOG,0218,ACO,ACO GROUP BERHAD,1,Industrials,"Machinery, Equipment & Components",http://www.acogroup.com.my/en/,"108 & 110, Jalan Seroja 39, Taman Johor Jaya, JOHOR BAHRU, 81100, Malaysia","ACO Group Bhd is a Malaysia-based investment holding company. The Company is principally involved in the distribution of a range of electrical products and accessories, specializing in cables, wires, and accessories; electrical distribution, protection, and control devices; as well as electrical appliances and accessories. The Company’s segment includes Industrial users and Resellers. The Industrial user’s segment is engaged in the sales of electrical products and accessories to electrical contractors, electrical products manufacturers, factory and business owners, and others. The Resellers segment is engaged in the sales of electrical products and accessories to intermediaries including distributors and retailers. Its other products include water plumbing materials, power tools and accessories, in addition to closed circuit television (CCTV) and alarm systems. Its customers include distributors and retailers, factory and business owners, architects, and interior designers."
$APTB,9148,ADVPKG,ADV. PACK. TECH,1,Basic Materials,Containers & Packaging,http://www.advancedpack.com.my,"Lot 2, Jln P/2A, Kawasan MIEL, Bangi Industrial Estate, BANDAR BARU BANGI, 43650, Malaysia","Advanced Packaging Technology (M) Bhd. is a Malaysia-based company, which is engaged in the manufacturing and distribution of flexible packaging materials. The Company produces flexible packaging materials catering to a range of industries in both the local and overseas markets, such as snack foods, instant noodles, sweets and confectionery, liquid condiments, frozen foods, spices, beverages, medical / surgical products and pharmaceuticals, and among others. The Company’s range of flexible packaging material comprises both single and multi-layers. It manufactures products according to the client’s specification and design in both roll and pouch form. The basic materials used by the Company to manufactures its products, are oriented polypropylene (OPP) film, cellulosic film, polyester, nylon, aluminum foil, metalized films, specialty films, linear low density polyethylene film, polyethylene and polypropylene resin."
