cashtag,name,link,avgrating,price,mktcap,anrecs,anrecscss,pev,pbv,estpeg,divyld,stockcode
$SEVE,7-ELEVEN M'SIA,/mkt/themarket/stock/SEVE,8.0,1.56,1924.08,OUTPERFORM,ana_lgreen,21.51,21.38,0.04,1.67,SEVE.KL
$ARNK,A-RANK BHD,/mkt/themarket/stock/ARNK,8.0,0.53,94.32,,,7.0,0.64,0.06,4.25,ARNK.KL
$ABFM,ABF Malaysia Bond Index Fund,/mkt/themarket/etf/ABFM,0.0,1.172,1644.22,,,0.0,0.0,0.0,0.0,ABFM.KL
$ABLE,ABLE GLOBAL,/mkt/themarket/stock/ABLE,8.0,1.38,428.45,OUTPERFORM,ana_lgreen,12.87,1.12,0.12,3.28,ABLE.KL
$ABEL,ABLEGROUP BHD,/mkt/themarket/stock/ABEL,3.0,0.125,32.99,,,0.0,0.74,-0.0,0.0,ABEL.KL
$ABMF,ABM FUJIYA BHD,/mkt/themarket/stock/ABMF,0.0,0.395,71.1,,,34.56,0.43,0.01,0.0,ABMF.KL
$ACEI,ACE INNOVATE,/mkt/themarket/stock/ACEI,0.0,0.35,105.01,,,0.0,4.3,0.0,2.83,ACEI.KL
$ACME,ACME HOLDGS BHD,/mkt/themarket/stock/ACME,3.0,0.185,68.0,,,0.0,0.65,-0.01,0.0,ACME.KL
$ACOG,ACO GROUP BERHAD,/mkt/themarket/stock/ACOG,6.0,0.21,72.95,,,9.96,0.84,0.02,0.0,ACOG.KL
$APTB,ADV. PACK. TECH,/mkt/themarket/stock/APTB,5.0,2.6,53.31,,,0.0,1.89,-0.06,0.0,APTB.KL
$AIMD,ADVANCE INFO MKT,/mkt/themarket/stock/AIMD,1.0,0.09,23.95,,,0.0,1.91,-0.02,0.0,AIMD.KL
$ADVA,ADVANCE SYNERGY,/mkt/themarket/stock/ADVA,3.0,0.095,88.27,,,0.0,0.19,-0.01,1.58,ADVA.KL
$ADVN,ADVANCECON HLD,/mkt/themarket/stock/ADVN,4.0,0.265,130.58,HOLD,ana_yellow,50.77,0.61,0.01,0.0,ADVN.KL
$ADVE,ADVENTA BHD,/mkt/themarket/stock/ADVE,3.0,0.515,78.69,HOLD,ana_yellow,10.86,1.16,0.09,0.0,ADVE.KL
$AEMU,AE MULTI HLDGS,/mkt/themarket/stock/AEMU,3.0,0.02,43.27,,,0.0,0.44,-0.04,0.0,AEMU.KL
$AEML,AEMULUS HOLDINGS,/mkt/themarket/stock/AEML,1.0,0.455,303.86,OUTPERFORM,ana_lgreen,19.21,2.7,0.02,0.0,AEML.KL
$AEOM,AEON CO. (M) BHD,/mkt/themarket/stock/AEOM,9.0,1.47,2063.88,OUTPERFORM,ana_lgreen,15.94,1.17,0.06,2.07,AEOM.KL
$ANCR,AEON CREDIT,/mkt/themarket/stock/ANCR,9.0,14.0,3574.31,OUTPERFORM,ana_lgreen,10.05,1.62,1.39,3.11,ANCR.KL
$AFIN,AFFIN BANK,/mkt/themarket/stock/AFIN,7.0,2.11,4668.02,OUTPERFORM,ana_lgreen,7.11,0.47,0.25,5.92,AFIN.KL
